ts-morph,templates
94.701ms,13.752ms
75.769ms,2.947ms
26.789ms,1.509ms
47.575ms,2.115ms
20.320ms,1.059ms
13.106ms,1.274ms
16.991ms,2.611ms
43.058ms,2.665ms
11.957ms,1.434ms
36.627ms,4.149ms
40.131ms,26.603ms
34.585ms,2.109ms
106.374ms,5.077ms
186.213ms,25.885ms
32.074ms,0.992ms
60.358ms,6.661ms
10.490ms,0.738ms
11.732ms,0.684ms
42.574ms,3.049ms
11.827ms,0.692ms
63.522ms,7.738ms
168.196ms,2.353ms
120.311ms,5.649ms
18.005ms,0.922ms
11.232ms,1.124ms
10.534ms,0.974ms
12.639ms,0.918ms
117.394ms,3.998ms
16.693ms,0.917ms
11.761ms,1.737ms
34.511ms,19.716ms
10.481ms,5.050ms
14.913ms,1.043ms
22.200ms,1.871ms
17.632ms,1.341ms
17.001ms,1.469ms
20.303ms,1.038ms
40.742ms,4.100ms
20.073ms,1.448ms
26.982ms,1.496ms
11.315ms,1.117ms
11.814ms,0.925ms
9.043ms,1.095ms
8.000ms,0.853ms
21.801ms,1.025ms
14.035ms,1.072ms
11.375ms,1.043ms
18.586ms,0.812ms
40.285ms,2.253ms
13.989ms,0.836ms
12.231ms,0.645ms
22.583ms,0.896ms
8.760ms,0.674ms
56.395ms,2.829ms
37.732ms,7.776ms
19.485ms,2.116ms
11.828ms,1.308ms
8.840ms,1.121ms
8.891ms,0.790ms
32.584ms,2.042ms
34.826ms,4.002ms
11.450ms,1.338ms
12.682ms,1.372ms
36.673ms,2.304ms
13.051ms,1.040ms
10.270ms,1.312ms
10.636ms,1.912ms
8.019ms,0.886ms
14.723ms,1.798ms
16.171ms,1.238ms
27.627ms,10.327ms
37.486ms,7.253ms
8.689ms,1.110ms
15.094ms,1.964ms
12.156ms,1.442ms
30.720ms,2.268ms
10.032ms,0.973ms
8.722ms,1.751ms
15.005ms,1.171ms
17.208ms,1.218ms
12.036ms,1.041ms
8.449ms,1.684ms
8.135ms,0.785ms
8.308ms,0.707ms
11.288ms,0.796ms
14.654ms,0.768ms
9.317ms,1.399ms
34.538ms,4.455ms
10.542ms,1.487ms
35.616ms,1.807ms
26.252ms,1.341ms
15.074ms,1.303ms
15.417ms,1.583ms
13.367ms,1.155ms
11.204ms,1.812ms
41.541ms,9.062ms
39.502ms,16.473ms
9.356ms,0.504ms
8.701ms,0.461ms
15.527ms,0.685ms
11.059ms,0.563ms
10.181ms,0.544ms
13.386ms,1.825ms
39.530ms,2.409ms
29.841ms,1.471ms
9.085ms,0.570ms
41.865ms,2.629ms
42.235ms,4.359ms
14.303ms,0.500ms
9.418ms,0.505ms
21.423ms,0.792ms
31.895ms,10.438ms
49.987ms,2.597ms
10.923ms,1.315ms
13.403ms,5.521ms
19.366ms,2.249ms
10.221ms,13.554ms
9.215ms,3.027ms
14.547ms,1.351ms
24.701ms,1.548ms
16.675ms,1.581ms
17.807ms,1.633ms
18.094ms,1.672ms
15.944ms,1.796ms
17.066ms,1.814ms
18.699ms,1.256ms
14.745ms,1.834ms
14.564ms,1.114ms
15.071ms,1.121ms
27.114ms,1.719ms
21.017ms,0.907ms
15.926ms,1.526ms
11.767ms,1.088ms
11.496ms,1.258ms
